customer_id,first_name,last_name,email,region,signup_date
6469,Agathe,Cagan,acagan0@buzzfeed.com,East,2024/07/10
7541,Frasco,Grollmann,fgrollmann1@bloglovin.com,West,2024/06/22
5378,Slade,Henryson,shenryson2@slashdot.org,South,2024/12/16
1122,Andria,Tassell,atassell3@archive.org,West,2025/02/26
6094,Tripp,Baigrie,tbaigrie4@house.gov,West,2024/08/01
4341,Chrissy,Gatteridge,cgatteridge5@delicious.com,East,2024/12/23
5819,Amandy,De Filippo,adefilippo6@lulu.com,North,2024/11/10
9653,Creight,Petersen,cpetersen7@netscape.com,South,2025/03/18
2789,Jewelle,Dumbleton,jdumbleton8@jimdo.com,South,2024/08/28
3762,Reeta,Ridout,rridout9@mit.edu,East,2024/08/21
1331,Philly,Prandoni,pprandonia@toplist.cz,North,2024/06/02
5645,Maxie,Ghidoli,mghidolib@google.de,East,2025/02/09
9857,Marlin,Cersey,mcerseyc@delicious.com,East,2024/08/19
6051,Flossie,Charlet,fcharletd@blogspot.com,West,2024/10/23
3563,Kristal,Redmond,kredmonde@desdev.cn,South,2024/06/11
4210,Ashlan,Buckham,abuckhamf@devhub.com,North,2025/04/05
8319,Royal,Westcott,rwestcottg@netscape.com,East,2024/07/08
6685,Cyndia,Edworthye,cedworthyeh@hud.gov,North,2024/08/09
4719,Tansy,Balch,tbalchi@flavors.me,South,2025/02/08
1887,Orelia,Goady,ogoadyj@weebly.com,South,2025/02/28
1216,Reuben,Brattan,rbrattank@delicious.com,East,2025/05/13
3497,Jori,Treneer,jtreneerl@ocn.ne.jp,North,2024/10/18
3385,Dael,McCready,dmccreadym@360.cn,West,2024/07/05
2728,Eward,Mustoo,emustoon@liveinternet.ru,West,2024/07/04
2164,Rudiger,Joist,rjoisto@icio.us,East,2025/03/26
5258,Kettie,Favel,kfavelp@cnet.com,East,2024/05/23
8238,Wilfred,Silverston,wsilverstonq@virginia.edu,East,2024/10/04
4014,Ebenezer,Liddiard,eliddiardr@gnu.org,North,2025/03/10
4408,Lark,Sigfrid,lsigfrids@sohu.com,East,2025/01/17
7983,Del,Byrd,dbyrdt@163.com,East,2024/11/23
6489,Valli,Tearney,vtearneyu@vk.com,West,2025/04/14
6063,Lovell,Bautiste,lbautistev@dailymotion.com,East,2024/08/10
8429,Marcellina,Mogey,mmogeyw@google.nl,East,2024/11/02
7009,Georgina,Grave,ggravex@wordpress.com,East,2024/12/29
4907,Helaine,Soots,hsootsy@webnode.com,North,2024/06/24
2554,Geneva,Gowthorpe,ggowthorpez@princeton.edu,East,2024/11/12
1243,Marchelle,Olivera,molivera10@plala.or.jp,East,2025/01/17
9833,Katey,Drakeley,kdrakeley11@gizmodo.com,South,2024/11/19
4266,Vanda,Gain,vgain12@google.co.jp,South,2025/04/16
4591,Ilene,Chanter,ichanter13@virginia.edu,North,2025/02/07
6060,Arlana,Odde,aodde14@w3.org,East,2024/10/28
1840,Alaine,Yandle,ayandle15@hc360.com,North,2025/01/10
6275,Trude,Asals,tasals16@imdb.com,North,2024/07/11
1441,Sawyer,Tebbett,stebbett17@salon.com,West,2024/10/31
4265,Cad,Twede,ctwede18@thetimes.co.uk,North,2024/08/18
2427,Brandise,Nelles,bnelles19@alexa.com,East,2025/02/23
3071,Clarine,Sannes,csannes1a@senate.gov,South,2024/07/08
6815,Randal,Ellicott,rellicott1b@cdbaby.com,East,2025/02/08
4499,Britney,Swidenbank,bswidenbank1c@squarespace.com,North,2025/03/05
7583,Peggie,Whittuck,pwhittuck1d@bbb.org,North,2024/11/20
